Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
1304,Cochabamba,Mercado,MERCADO 27 DE MAYO,,,-17425230,-66143201,geobo
1305,Cochabamba,Mercado,MERCADO 27 DE MAYO,,,-17474951,-66149199,geobo
1306,Cochabamba,Mercado,MERCADO 8DE SEPTIEMBRE,,,-17434506,-66156740,geobo
1307,Cochabamba,Mercado,MERCADO BARTOLIna SISA,,,-17468100,-66206974,geobo
1308,Cochabamba,Mercado,MERCADO CAMPESINO,,,-17431632,-66125808,geobo
1309,Cochabamba,Mercado,MERCADO CAMPESINO,,,-17434316,-66124189,geobo
1310,Cochabamba,Mercado,MERCADO CAMPESINO,,,-17434047,-66124387,geobo
1311,Cochabamba,Mercado,MERCADO CAMPESINO,,,-17430476,-66126161,geobo
1312,Cochabamba,Mercado,MERCADO CAMPESINO,,,-17433555,-66124678,geobo
1313,Cochabamba,Mercado,MERCADO CAMPESINO DEL NORTE   MAYORISTAS DEL PRODUCTOR AL CONSUMIDOR,,,-17351226,-66172623,geobo
1314,Cochabamba,Mercado,MERCADO CAMPESINO PRIVADO,,,-17429383,-66126429,geobo
1315,Cochabamba,Mercado,MERCADO CERRO VERDE,,,-17413978,-66144082,geobo
1316,Cochabamba,Mercado,MERCADO DE CALA CALA,,,-17372261,-66161775,geobo
1317,Cochabamba,Mercado,MERCADO DE VALLE HERMOSO,,,-17447943,-66127207,geobo
1318,Cochabamba,Mercado,MERCADO DEL OESTE BELEN TOKIO,,,-17382356,-66194726,geobo
1319,Cochabamba,Mercado,MERCADO EL PROGRESO,,,-17394689,-66190325,geobo
1320,Cochabamba,Mercado,MERCADO FERROVIARIO,,,-17448104,-66146801,geobo
1321,Cochabamba,Mercado,MERCADO FIDEL ARANIBAR,,,-17402795,-66153960,geobo
1322,Cochabamba,Mercado,MERCADO INGAVI,,,-17390127,-66171077,geobo
1323,Cochabamba,Mercado,MERCADO JAIHUAYCO,,,-17415019,-66164129,geobo
1324,Cochabamba,Mercado,MERCADO JUAN XXIII,,,-17388831,-66203724,geobo
1325,Cochabamba,Mercado,MERCADO LA PAMPA,,,-17403778,-66152052,geobo
1326,Cochabamba,Mercado,MERCADO LORETO,,,-17423266,-66157048,geobo
1327,Cochabamba,Mercado,MERCADO MISICUNI,,,-17437367,-66113235,geobo
1328,Cochabamba,Mercado,MERCADO MODELO DEL NORTE MINORISTAS,,,-17351945,-66172993,geobo
1329,Cochabamba,Mercado,MERCADO MOLINO EL GALLO,,,-17406813,-66155093,geobo
1330,Cochabamba,Mercado,MERCADO MOLINO SAN LUIS,,,-17405716,-66155077,geobo
1331,Cochabamba,Mercado,MERCADO NORTE CALATAYUD,,,-17398351,-66152809,geobo
1332,Cochabamba,Mercado,MERCADO OSORIO,,,-17397122,-66162586,geobo
1333,Cochabamba,Mercado,MERCADO PALMAR,,,-17467134,-66207119,geobo
1334,Cochabamba,Mercado,MERCADO PAPA PAULO,,,-17383902,-66147804,geobo
1335,Cochabamba,Mercado,MERCADO QUECHISLITAS,,,-17375552,-66185689,geobo
1336,Cochabamba,Mercado,MERCADO SAN ANTONIO,,,-17402758,-66155039,geobo
1337,Cochabamba,Mercado,MERCADO SECCIOnaL 15 DE ABRIL VILLA ALALAY,,,-17420300,-66140075,geobo
1338,Cochabamba,Mercado,MERCADO SUD CALATAYUD,,,-17398950,-66152731,geobo
1339,Cochabamba,Mercado,MERCADO ZOnaL SEÑOR DE MAYO,,,-17364564,-66176323,geobo
1340,Cochabamba,Mercado,MERCADOna,,,-17413559,-66165533,geobo
1341,Cochabamba,Mercado,MOROMERCADO LACTEOS,,,-17386795,-66157590,geobo
1342,Cochabamba,Mercado,MERCADO,,,-17338347,-65866537,geobo
1343,Cochabamba,Mercado,MERCADO CENTRAL DE COLOMI,,,-17338115,-65866671,geobo
1344,Cochabamba,Mercado,MERCADO CENTRAL DE COLOMI,,,-17337807,-65864607,geobo
1345,Cochabamba,Mercado,MERCADO 1 DE MAYO,,,-17413385,-66024177,geobo
1346,Cochabamba,Mercado,MERCADO BARRIENTOS,,,-17375997,-66118210,geobo
1347,Cochabamba,Mercado,MERCADO CAMPESINO,,,-17377808,-66112576,geobo
1348,Cochabamba,Mercado,MERCADO CENTRAL DE ESMERALDA,,,-17379197,-66078412,geobo
1349,Cochabamba,Mercado,MERCADO CENTRAL DE QUINTANILLA,,,-17387403,-66110762,geobo
1350,Cochabamba,Mercado,MERCADO CENTRAL DE QUINTANILLA,,,-17387121,-66110982,geobo
1351,Cochabamba,Mercado,MERCADO CENTRAL DE SACABA,,,-17402336,-66037375,geobo
1352,Cochabamba,Mercado,MERCADO CENTRAL HUAYYANI GRANDE/SAN ANTONIO,,,-17392732,-66058791,geobo
1353,Cochabamba,Mercado,MERCADO CENTRAL SACABA,,,-17404887,-66038608,geobo
1354,Cochabamba,Mercado,MERCADO DE BARRIO,,,-17376497,-66065552,geobo
1355,Cochabamba,Mercado,MERCADO EL CARMEN DISTRITO 6,,,-17415310,-66079808,geobo
1356,Cochabamba,Mercado,MERCADO MORRO(GALPON DE PAPA),,,-17398675,-66034591,geobo
1357,Cochabamba,Mercado,MERCADO VILLA UNION,,,-17414834,-66082962,geobo
1358,Cochabamba,Mercado,MERCADO 27 DE MAYO,,,-16830880,-65521034,geobo
1359,Cochabamba,Mercado,MERCADO CENTRAL ETERAZAMA,,,-16831453,-65520289,geobo
1360,Cochabamba,Mercado,MERCADO DE COMERCIANTES MINORISTAS 1RO DE MAYO,,,-16831420,-65519979,geobo
1361,Cochabamba,Mercado,MUCROMERCADO,,,-16974713,-65417948,geobo
1362,Cochabamba,Mercado,MERCADO MUNICIPAL DE TARATA,,,-17613894,-66024214,geobo
1363,Cochabamba,Mercado,MERCADO MODELO CENTRAL MIZQUE,,,-17941831,-65341851,geobo
1364,Cochabamba,Mercado,MERCADO CENTRAL PUnaTA,,,-17547058,-65836623,geobo
1365,Cochabamba,Mercado,MERCADO DE PAPA,,,-17542792,-65834452,geobo
1366,Cochabamba,Mercado,MERCADO CENTRAL SAN BENITO CON 90 PUESTOS DE VENTA,,,-17521671,-65894679,geobo
1367,Cochabamba,Mercado,MERCADO CAPACACHI,,,-17383518,-66223757,geobo
1368,Cochabamba,Mercado,MERCADO CENTRAL DE KAMY,,,-17365939,-66234565,geobo
1369,Cochabamba,Mercado,MERCADO DE ABASTO FLOTIDA NORTE,,,-17386820,-66225445,geobo
1370,Cochabamba,Mercado,MERCADO CENTRAL 27 DE MAYO EL PASO,,,-17339342,-66264936,geobo
1371,Cochabamba,Mercado,MERCADO 9 DE DICIEMBRE,,,-17399921,-66282840,geobo
1372,Cochabamba,Mercado,MERCADO 9 DE DICIEMBRE,,,-17400388,-66283251,geobo
1373,Cochabamba,Mercado,MERCADO CENTAL DE QUILLACOLLO,,,-17397293,-66280488,geobo
1374,Cochabamba,Mercado,MERCADO CENTRAL DE QUILLACOLLO,,,-17397415,-66279912,geobo
1375,Cochabamba,Mercado,MERCADO DE PAPAS,,,-17401411,-66285074,geobo
1376,Cochabamba,Mercado,MERCADO DE QUILLACOLLO,,,-17395750,-66282603,geobo
1377,Cochabamba,Mercado,MERCADO MARTIN CARDEnaS,,,-17406035,-66282849,geobo
1378,Cochabamba,Mercado,MERCADO NELIDA DE GUERRA,,,-17390006,-66285944,geobo
1379,Cochabamba,Mercado,MERCADO PLAZA DE GRANOS,,,-17398767,-66284040,geobo
1380,Cochabamba,Mercado,MERCADO VILLA MARIA,,,-17385642,-66256822,geobo
1381,Cochabamba,Mercado,MERCADO CENTRAL DE SIPE SIPE/SALE AL LADO B,,,-17453654,-66356641,geobo
1382,Cochabamba,Mercado,MERCADO 17 DE OCTUBRE,,,-17346300,-66191154,geobo
1383,Cochabamba,Mercado,MERCADO 24 DE JUNIO,,,-17334368,-66197998,geobo
1384,Cochabamba,Mercado,MERCADO CENTRAL DE TIQUIPAYA,,,-17337262,-66218661,geobo
1385,Cochabamba,Mercado,MERCADO CHILIMARCA 27 DE MAYO,,,-17336400,-66202946,geobo
1386,Cochabamba,Mercado,MERCADO DE LA COMUNIDAD BARRIO ÑEBERIA,,,-17361834,-66225057,geobo
1387,Cochabamba,Mercado,MERCADO SANTA ELISA,,,-17361763,-66215504,geobo
1388,Cochabamba,Mercado,FERIA DEL MERCADO CAMPESINO DE VINTO,,,-17399152,-66316880,geobo
1389,Cochabamba,Mercado,MERCADO CENTRAL CHULLA,,,-17377769,-66308240,geobo
1390,Cochabamba,Mercado,MERCADO DE VINTO,,,-17399660,-66316306,geobo
1391,Cochabamba,Mercado,MERCADO SEXTA,,,-17398040,-66326043,geobo
1392,Cochabamba,Mercado,MERCADO,,,-16993608,-65248754,geobo
1393,Cochabamba,Mercado,MERCADO 10 DE FEBRERO,,,-16996016,-65246544,geobo
1394,Cochabamba,Mercado,MERCADO 27 DE JULIO,,,-16994008,-65239797,geobo
1395,Cochabamba,Mercado,MERCADO 27 DE MAYO,,,-16994004,-65248758,geobo
1396,Cochabamba,Mercado,MERCADO CENTRAL 24 DE AGOSTO,,,-16994153,-65247321,geobo
1397,Cochabamba,Mercado,MERCADO LA PAZ TROPICO PRIMERA SECCION,,,-16993744,-65247649,geobo
1398,Cochabamba,Mercado,MERCADO LA PAZ TROPICO SEGUNDA SECCION,,,-16994098,-65247711,geobo
1399,Cochabamba,Mercado,MERCADO LA PAZ TROPICO TERCERA SECCION,,,-16994404,-65247765,geobo
1400,Cochabamba,Mercado,MERCADO PRIMARIO DE COCA,,,-16992715,-65244050,geobo
1401,Cochabamba,Mercado,MERCADO PRIMARIO DE LA COCA,,,-16995964,-65248768,geobo
1402,Chuquisaca,Mercado,MERCADO CAMPESINO,,,-19810768,-63979596,geobo
1403,Chuquisaca,Mercado,MERCADO CENTRAL MONTEAGUDO,,,-19801674,-63954597,geobo
1404,Chuquisaca,Mercado,MERCADO GREMIALISTA  10 DE NOVIEMBRE,,,-19795762,-63959454,geobo
1405,Chuquisaca,Mercado,MERCADO MARACAna,,,-19803808,-63956887,geobo
1406,Chuquisaca,Mercado,MERCADO POPULAR,,,-19804907,-63957038,geobo
1407,Chuquisaca,Mercado,MERCADO SAN JOSE,,,-19808443,-63959234,geobo
1408,Chuquisaca,Mercado,MERCADO CAMPESINO,,,-20642098,-65211327,geobo
1409,Chuquisaca,Mercado,MERCADO CENTRAL,,,-20642076,-65210548,geobo
1410,Chuquisaca,Mercado,MERCADO BALLIVIAN 17 TIENDAS DE ROPA,,,-19042781,-65257327,geobo
1411,Chuquisaca,Mercado,MERCADO CAMPESINO,,,-19033359,-65253625,geobo
1412,Chuquisaca,Mercado,MERCADO CAPITAL .     TIENDAS DE ROPA,,,-19044016,-65258344,geobo
1413,Chuquisaca,Mercado,MERCADO DE LAJASTAMBO,,,-19012033,-65309123,geobo
1414,Chuquisaca,Mercado,MERCADO EL MORRO,,,-19026918,-65247991,geobo
1415,Chuquisaca,Mercado,MERCADO EVO MORALES AYMA,,,-19069518,-65242700,geobo
1416,Chuquisaca,Mercado,MERCADO LAJASTAMBO,,,-19012676,-65308665,geobo
1417,Chuquisaca,Mercado,MERCADO MINORISTA,,,-19040419,-65254812,geobo
1418,Chuquisaca,Mercado,MERCADO POCOnaS,,,-19047369,-65249312,geobo
1419,Chuquisaca,Mercado,MERCADO SAN ANTONIO ( GOBIERNO AUTONOMO MUNICIPAL DE SUCRE),,,-19050513,-65240854,geobo
1420,Chuquisaca,Mercado,MERCADO SANTA Ana RECOBITA,,,-19053279,-65253292,geobo
1421,Chuquisaca,Mercado,MERCADO TOMAS KATARI,,,-19020586,-65261213,geobo
1422,Chuquisaca,Mercado,TIKARIY MERCADO ARTESAnaL,,,-19033666,-65250373,geobo
1423,Chuquisaca,Mercado,MERCADO MUNICIPAL DE YOTALA,,,-19162174,-65263975,geobo
1424,Chuquisaca,Mercado,MERCADO CAMPESINO DE TARABUCO,,,-19181238,-64912127,geobo
1425,Chuquisaca,Mercado,MERCADO CENTRAL TARABUCO,,,-19181738,-64913732,geobo
1426,La Paz,Mercado,MERCADO CENTRAL,,,-15832238,-67567519,geobo
1427,La Paz,Mercado,MERCADO PRIMARIO DE COCA APROCOCA CARAnaVI,,,-15829210,-67570590,geobo
1428,La Paz,Mercado,MERCADO 3 DE MAYO,,,-14710154,-68416153,geobo
1429,La Paz,Mercado,MERCADO CENTRAL MUNICIPAL DESAGUADERO VIRGEN DE URCUPIÑA,,,-16566889,-69035975,geobo
1430,La Paz,Mercado,MERCADO MUNICIPAL,,,-16654143,-68302044,geobo
1431,La Paz,Mercado,MERCADO  COLQUIRI,,,-17395967,-67129487,geobo
1432,La Paz,Mercado,MERCADO 6 DE AGOSTO,,,-17391750,-67124970,geobo
1433,La Paz,Mercado,"MERCADO CAMPESINO, FRECIA VILLANUEVA CHOQUE",,,-17389033,-67122867,geobo
1434,La Paz,Mercado,MERCADO PEDRO DOMINGO MURILLO,,,-17389035,-67123687,geobo
1435,La Paz,Mercado,MERCADO DE COPACABAna,,,-16164434,-69085864,geobo
1436,La Paz,Mercado,MERCADO,,,-16488859,-68171422,geobo
1437,La Paz,Mercado,MERCADO  MODELO COSMOS 78,,,-16526254,-68200414,geobo
1438,La Paz,Mercado,MERCADO 12 DE OCTUBRE,,,-16520801,-68166439,geobo
1439,La Paz,Mercado,MERCADO 14 DE SEPTIEMBRE,,,-16542691,-68174185,geobo
1440,La Paz,Mercado,MERCADO 25 DE JULIO DE SANTIAGO II,,,-16536706,-68178413,geobo
1441,La Paz,Mercado,MERCADO 8 DE SEPTIEMBRE,,,-16589905,-68189914,geobo
1442,La Paz,Mercado,MERCADO AMIG-CHACO,,,-16526549,-68205115,geobo
1443,La Paz,Mercado,MERCADO BARTOLIna ZIZA,,,-16487454,-68194689,geobo
1444,La Paz,Mercado,MERCADO BOLIVAR D,,,-16524189,-68176356,geobo
1445,La Paz,Mercado,MERCADO CALUYO,,,-16531266,-68191707,geobo
1446,La Paz,Mercado,MERCADO CAMPESINO,,,-16537427,-68167382,geobo
1447,La Paz,Mercado,MERCADO CENTRAL VILLA DOLORES,,,-16512357,-68158903,geobo
1448,La Paz,Mercado,MERCADO CIUDAD SATELITE,,,-16524838,-68150698,geobo
1449,La Paz,Mercado,MERCADO CORAZON DE JESUS,,,-16548067,-68189746,geobo
1450,La Paz,Mercado,MERCADO DE ALTO LIMA,,,-16480569,-68175268,geobo
1451,La Paz,Mercado,MERCADO DE VILLA ADELA,,,-16519321,-68211463,geobo
1452,La Paz,Mercado,MERCADO DOLORES F,,,-16525866,-68186797,geobo
1453,La Paz,Mercado,MERCADO EL CARMEN,,,-16495726,-68214898,geobo
1454,La Paz,Mercado,MERCADO EL CARMEN,,,-16495661,-68214630,geobo
1455,La Paz,Mercado,MERCADO JUAN CRUZ,,,-16472962,-68221260,geobo
1456,La Paz,Mercado,MERCADO JUAna AZURDUY DE PADILLA,,,-16543383,-68185663,geobo
1457,La Paz,Mercado,MERCADO LUIS PAMPA,,,-16538112,-68204294,geobo
1458,La Paz,Mercado,MERCADO MODELO,,,-16619750,-68181631,geobo
1459,La Paz,Mercado,MERCADO PRIMERO DE MAYO,,,-16534306,-68199442,geobo
1460,La Paz,Mercado,MERCADO PRIVADO DE TUBERCULOS,,,-16506015,-68160242,geobo
1461,La Paz,Mercado,MERCADO QUISWARAS,,,-16542232,-68230957,geobo
1462,La Paz,Mercado,MERCADO SANTA Ana,,,-16526942,-68207370,geobo
1463,La Paz,Mercado,MERCADO SANTA ROSA,,,-16536735,-68165063,geobo
1464,La Paz,Mercado,MERCADO SANTOS MAMANI,,,-16494777,-68175121,geobo
1465,La Paz,Mercado,MERCADO TUnaRI,,,-16496642,-68196356,geobo
1466,La Paz,Mercado,MERCADO UNION PROGRESO,,,-16503925,-68161529,geobo
1467,La Paz,Mercado,MERCADO URKUPIÑA,,,-16555858,-68190930,geobo
1468,La Paz,Mercado,MERCADO VILLA EXALTACION,,,-16535768,-68157359,geobo
1469,La Paz,Mercado,MERCADO VILLA MERCEDES,,,-16566814,-68219919,geobo
1470,La Paz,Mercado,MERCADO VILLA TEJADA,,,-16521270,-68157088,geobo
1471,La Paz,Mercado,MERCADO VIRGEN DE LA CANDELARIA,,,-16526668,-68225074,geobo
1472,La Paz,Mercado,MERCADO ZOna MERCEDARIO,,,-16524015,-68235597,geobo
1473,La Paz,Mercado,ASOCIACION MERCADO CANDELARIA EX FONDO OVEJUYO,,,-16534070,-68038111,geobo
1474,La Paz,Mercado,MERCADO 10 DE ENERO,,,-16501468,-68104484,geobo
1475,La Paz,Mercado,MERCADO 14 DE SEPTIEMBRE,,,-16528293,-68099548,geobo
1476,La Paz,Mercado,MERCADO 15 DE ABRIL,,,-16476666,-68118147,geobo
1477,La Paz,Mercado,MERCADO 16 DE JULIO,,,-16529857,-68102487,geobo
1478,La Paz,Mercado,MERCADO 16 DE JULIO KALAJAHUIRA,,,-16453017,-68096536,geobo
1479,La Paz,Mercado,MERCADO 16 DE JULIO KALAJAHUIRA,,,-16452709,-68096591,geobo
1480,La Paz,Mercado,MERCADO 19 MARZO,,,-16496455,-68142156,geobo
1481,La Paz,Mercado,MERCADO 21 DE ENERO,,,-16456829,-68149514,geobo
1482,La Paz,Mercado,MERCADO 29 DE ENERO,,,-16536944,-68048392,geobo
1483,La Paz,Mercado,MERCADO 4 DE ABRIL,,,-16521882,-68145818,geobo
1484,La Paz,Mercado,MERCADO 8 DE DICIEMBRE,,,-16536944,-68048392,geobo
1485,La Paz,Mercado,MERCADO 8 DE SEPTIEMBRE,,,-16517027,-68113639,geobo
1486,La Paz,Mercado,MERCADO ADOLFO ORTEGA,,,-16496016,-68143630,geobo
1487,La Paz,Mercado,MERCADO ALTO MARISCAL SANTA CRUZ,,,-16493135,-68160590,geobo
1488,La Paz,Mercado,MERCADO ALTO SEGUENCOMA,,,-16533986,-68104223,geobo
1489,La Paz,Mercado,MERCADO AMAPOLA,,,-16500678,-68139058,geobo
1490,La Paz,Mercado,MERCADO ANTOFAGASTA,,,-16487708,-68140491,geobo
1491,La Paz,Mercado,MERCADO ARTESAnaL,,,-16495714,-68137648,geobo
1492,La Paz,Mercado,MERCADO ARTESAnaL JUAN XXIII,,,-16498421,-68137973,geobo
1493,La Paz,Mercado,MERCADO BAJO MARISCAL SANTA CRUZ,,,-16492558,-68158364,geobo
1494,La Paz,Mercado,MERCADO BOLIVAR,,,-16513848,-68141155,geobo
1495,La Paz,Mercado,MERCADO BOLIVAR,,,-16493591,-68131845,geobo
1496,La Paz,Mercado,MERCADO CALAMA,,,-16489753,-68137213,geobo
1497,La Paz,Mercado,MERCADO CALATAYUD,,,-16495439,-68147624,geobo
1498,La Paz,Mercado,MERCADO CAMACHO,,,-16500455,-68131575,geobo
1499,La Paz,Mercado,MERCADO CAMPESINO (ZENOBIO LOPEZ),,,-16506862,-68115456,geobo
1500,La Paz,Mercado,MERCADO CARMEN ENTRE RIOS,,,-16497277,-68156002,geobo
1501,La Paz,Mercado,MERCADO CENTRAL PURA PURA,,,-16481479,-68149226,geobo
1502,La Paz,Mercado,MERCADO COMEDOR RINCON CRIOLLO,,,-16503262,-68128262,geobo
1503,La Paz,Mercado,MERCADO DE COCA,,,-16473824,-68118086,geobo
1504,La Paz,Mercado,MERCADO DE COCA APOLO CARAnaVI,,,-16475955,-68119264,geobo
1505,La Paz,Mercado,MERCADO EL CARMEN,,,-16514695,-68126271,geobo
1506,La Paz,Mercado,MERCADO EL TEJAR,,,-16495322,-68152063,geobo
1507,La Paz,Mercado,MERCADO FRANCISCO CERnaDAS,,,-16483771,-68125464,geobo
1508,La Paz,Mercado,MERCADO GERMAN BUCHS,,,-16481803,-68139965,geobo
1509,La Paz,Mercado,MERCADO HAITI,,,-16490814,-68122574,geobo
1510,La Paz,Mercado,MERCADO HINOJOSA,,,-16503350,-68144583,geobo
1511,La Paz,Mercado,MERCADO JERMAN JORDAN,,,-16509999,-68112949,geobo
1512,La Paz,Mercado,MERCADO KILLI KILLI,,,-16494480,-68127412,geobo
1513,La Paz,Mercado,MERCADO KOLLLASUYO,,,-16495182,-68116670,geobo
1514,La Paz,Mercado,MERCADO LA MERCED,,,-16471025,-68118066,geobo
1515,La Paz,Mercado,MERCADO LA MERCED DE COTA COTA,,,-16542077,-68058031,geobo
1516,La Paz,Mercado,MERCADO LA PORTADA,,,-16489251,-68166946,geobo
1517,La Paz,Mercado,MERCADO LANZA,,,-16494747,-68137328,geobo
1518,La Paz,Mercado,MERCADO LAS DELICIAS,,,-16476973,-68123548,geobo
1519,La Paz,Mercado,MERCADO LAS FLORES,,,-16495416,-68151104,geobo
1520,La Paz,Mercado,MERCADO LAS LOMAS,,,-16522272,-68138834,geobo
1521,La Paz,Mercado,MERCADO LAS NIEVES,,,-16497140,-68157388,geobo
1522,La Paz,Mercado,MERCADO LOS ANDES,,,-16498739,-68148289,geobo
1523,La Paz,Mercado,MERCADO LLOJETA VERGEL,,,-16534238,-68140376,geobo
1524,La Paz,Mercado,MERCADO MANUEL HOYOS,,,-16485917,-68134593,geobo
1525,La Paz,Mercado,MERCADO MARACAna,,,-16485585,-68137140,geobo
1526,La Paz,Mercado,MERCADO MODELO ACHUMANI,,,-16530709,-68073618,geobo
1527,La Paz,Mercado,MERCADO MODELO ALTO SAN ANTONIO,,,-16498039,-68108447,geobo
1528,La Paz,Mercado,MERCADO MODELO IRPAVI,,,-16525088,-68087166,geobo
1529,La Paz,Mercado,MERCADO MODELO LAS VELAS,,,-16500744,-68127557,geobo
1530,La Paz,Mercado,MERCADO MODELO OBISPO INDABURO,,,-16501087,-68145532,geobo
1531,La Paz,Mercado,MERCADO N7 VILLA VICTORIA,,,-16490368,-68151694,geobo
